dev59_HR,dev60_SpO2,dev60_PI,dev59_PI,dev59_SpO2
75.0,,820.0,8.0,88.0
74.0,100.0,0.4,6.0,88.0
74.0,100.0,0.4,6.0,88.0
74.0,100.0,0.4,7.0,88.0
74.0,100.0,0.4,7.0,88.0
74.0,100.0,0.4,7.0,88.0
74.0,100.0,0.4,7.0,88.0
75.0,100.0,0.4,8.0,89.0
75.0,100.0,0.4,8.0,89.0
75.0,100.0,0.4,8.0,89.0
75.0,100.0,0.4,8.0,89.0
75.0,100.0,0.4,5.0,89.0
75.0,100.0,0.4,5.0,89.0
75.0,100.0,0.4,5.0,89.0
75.0,100.0,0.4,5.0,89.0
73.0,100.0,0.4,12.0,90.0
73.0,100.0,0.4,12.0,90.0
73.0,100.0,0.4,12.0,90.0
73.0,100.0,0.4,12.0,90.0
74.0,100.0,0.4,12.0,91.0
74.0,100.0,0.4,12.0,91.0
74.0,100.0,0.4,12.0,91.0
74.0,100.0,0.4,12.0,91.0
75.0,100.0,0.4,6.0,93.0
75.0,100.0,0.4,6.0,93.0
75.0,100.0,0.4,6.0,93.0
75.0,100.0,0.4,6.0,93.0
74.0,100.0,0.4,5.0,94.0
74.0,100.0,0.4,5.0,94.0
74.0,100.0,0.4,5.0,94.0
74.0,100.0,0.4,5.0,94.0
73.0,100.0,0.4,6.0,95.0
73.0,100.0,0.4,6.0,95.0
73.0,100.0,0.4,6.0,95.0
73.0,100.0,0.4,6.0,95.0
74.0,100.0,0.4,6.0,95.0
74.0,100.0,0.4,6.0,95.0
74.0,100.0,0.4,6.0,95.0
74.0,100.0,0.4,6.0,95.0
74.0,100.0,0.4,6.0,97.0
74.0,100.0,0.4,6.0,97.0
74.0,100.0,0.4,6.0,97.0
74.0,100.0,0.4,6.0,97.0
74.0,100.0,0.4,8.0,97.0
74.0,100.0,0.4,8.0,97.0
74.0,100.0,0.4,8.0,97.0
74.0,100.0,0.4,8.0,97.0
75.0,100.0,0.4,6.0,98.0
75.0,100.0,0.4,6.0,98.0
75.0,100.0,0.4,6.0,98.0
75.0,100.0,0.4,6.0,98.0
75.0,100.0,0.4,4.0,99.0
75.0,100.0,0.4,4.0,99.0
75.0,100.0,0.4,4.0,99.0
75.0,100.0,0.4,4.0,99.0
74.0,100.0,0.4,5.0,100.0
74.0,100.0,0.4,5.0,100.0
74.0,100.0,0.4,5.0,100.0
74.0,100.0,0.4,5.0,100.0
73.0,100.0,0.4,7.0,100.0
73.0,100.0,0.4,7.0,100.0
73.0,100.0,0.4,7.0,100.0
73.0,100.0,0.4,7.0,100.0
74.0,100.0,0.4,8.0,100.0
74.0,100.0,0.4,8.0,100.0
74.0,100.0,0.4,8.0,100.0
74.0,100.0,0.4,8.0,100.0
74.0,100.0,0.4,5.0,99.0
